"main_production_country","main_production_company","main_producer_name","editor_name","main_director_name","main_actor3_name","main_actor2_name","main_actor1_name","title","imdb_id","imdb_url","imdb_score","budget_in_millions","month_of_release","year_of_release","duration_in_hours","main_lang","total_number_languages","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_crime","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_mystery","genre_realitytv","genre_romance","genre_scifi","genre_shortfilm","genre_sport","genre_thriller","genre_war","genre_western","main_actor1_is_female","main_actor2_is_female","main_actor3_is_female","total_number_of_actors","main_director_is_female","total_number_of_directors","total_number_of_producers","total_number_of_production_companies","total_number_of_production_countries","genre_count","actor1_avg_score","actor1_tier","actor2_avg_score","actor2_tier","actor3_avg_score","actor3_tier","director_avg_score","director_tier","editor_avg_score","editor_tier","producer_avg_score","producer_tier","production_company_avg_score","production_company_tier","main_lang_category","seasons","Continent"
"Australia","Village Roadshow Pictures","Bruce Berman","Dallas Puett","Antony Hoffman","Benjamin Bratt","Carrie-Anne Moss","Val Kilmer","Red Planet","tt0199753","http://www.imdb.com/title/tt0199753/",5.6,80,11,2000,1.766666667,"English",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,9,0,1,3,5,2,3,6.8,"Medium",6.96363636363636,"Medium",5.92,"Lower",5.6,"Lower",5.95714285714286,"Lower",5.7,"Lower",6.45625,"Medium","English","Fall","OC"
"Australia","Current Entertainment","Michael Boughen","John Gilbert","Gary McKendry","Robert De Niro","Clive Owen","Jason Statham","Killer Elite","tt1448755","http://www.imdb.com/title/tt1448755/",6.5,66,9,2011,1.933333333,"English",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,1,4,9,2,3,6.39285714285714,"Medium",6.73076923076923,"Medium",7.06756756756757,"Medium",6.5,"Medium",7.2,"Medium",6.5,"Medium",6.5,"Medium","English","Fall","OC"
"Australia","BBC Films","Jan Chapman","Alexandre de Franceschi","Jane Campion","Paul Schneider","Ben Whishaw","Abbie Cornish","Bright Star","tt0810784","http://www.imdb.com/title/tt0810784/",7,8.5,11,2009,1.983333333,"Français",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19,1,1,2,7,3,3,6.8,"Medium",7.25,"Medium",7.2,"Medium",6.63333333333333,"Medium",6.15,"Medium",7,"Medium",6.97647058823529,"Medium","Français","Fall","OC"
"Australia","Spring Creek Productions","Jane Rosenthal","Craig Herring","Harold Ramis","Lisa Kudrow","Billy Crystal","Robert De Niro","Analyze This","tt0122933","http://www.imdb.com/title/tt0122933/",6.7,80,3,1999,1.716666667,"English",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,2,4,2,2,7.06756756756757,"Medium",7,"Medium",6,"Medium",6.6,"Medium",5.48,"Lower",6.25,"Medium",6.75,"Medium","English","Spring","OC"
"Australia","Kennedy Miller Productions","Byron Kennedy","Michael Balson","George Miller","Michael Preston","Bruce Spence","Mel Gibson","Mad Max 2","tt0082694","http://www.imdb.com/title/tt0082694/",7.6,2,12,1981,1.583333333,"English",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,1,1,1,1,3,6.84583333333333,"Medium",6.9,"Medium",7.6,"Medium",6.64,"Medium",7.6,"Medium",7.3,"Medium",6.82,"Medium","English","Winter","OC"
"Australia","Village Roadshow Pictures","Channing Dungey","Billy Weber","Tom Dey","Eddie Murphy","Rachael Harris","Robert De Niro","Showtime","tt0284490","http://www.imdb.com/title/tt0284490/",5.5,85,3,2002,1.583333333,"English",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,3,6,2,3,7.06756756756757,"Medium",5.85,"Lower",6.016,"Medium",5.4,"Lower",5.73333333333333,"Lower",5.5,"Lower",6.45625,"Medium","English","Spring","OC"
"Australia","Village Roadshow Pictures","Joel Silver","Stephen E. Rivkin","Dominic Sena","Halle Berry","Hugh Jackman","John Travolta","Swordfish","tt0244244","http://www.imdb.com/title/tt0244244/",6.5,102,6,2001,1.65,"Deutsch",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,53,0,1,3,5,2,3,6.50434782608696,"Medium",7.00769230769231,"Medium",6.18461538461538,"Medium",6.275,"Medium",7.2375,"Medium",6.57692307692308,"Medium",6.45625,"Medium","Deutsch","Summer","OC"
"Australia","Kennedy Miller Productions","George Miller","Richard Francis-Bruce","George Miller","Bruce Spence","Tina Turner","Mel Gibson","Mad Max Beyond Thunderdome","tt0089530","http://www.imdb.com/title/tt0089530/",6.2,12.305523,6,1985,1.783333333,"English",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,2,5,1,1,3,6.84583333333333,"Medium",6.2,"Medium",6.9,"Medium",6.64,"Medium",6.73076923076923,"Medium",6.2,"Medium",6.82,"Medium","English","Summer","OC"
"Australia","Ciby 2000","Lynda House","Jill Bilcock","P.J. Hogan","Rachel Griffiths","Bill Hunter","Toni Collette","Muriels Wedding","tt0110598","http://www.imdb.com/title/tt0110598/",7.2,3,9,1994,1.766666667,"English",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,14,0,1,2,3,2,3,7.3,"Medium",7.25,"Medium",7.2,"Medium",6.43333333333333,"Medium",7.05,"Medium",7.2,"Medium",7.45,"Medium","English","Fall","OC"
"Australia","Kennedy Miller Productions","Byron Kennedy","Cliff Hayes","George Miller","Hugh Keays-Byrne","Joanne Samuel","Mel Gibson","Mad Max","tt0079501","http://www.imdb.com/title/tt0079501/",7,0.4,4,1979,1.55,"English",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,1,1,3,1,3,6.84583333333333,"Medium",7,"Medium",7,"Medium",6.64,"Medium",7,"Medium",7.3,"Medium",6.82,"Medium","English","Spring","OC"
