"name","avg_score","n","tier","role"
"Ben Shenkman",7.5,1,"Medium","Actor"
"Ben Stiller",6.65789473684211,19,"Medium","Actor"
"Ben Vereen",6.5,1,"Medium","Actor"
"Ben Whishaw",7.25,2,"Medium","Actor"
"Benicio del Toro",7.8,1,"Medium","Actor"
"Benjamin Bratt",5.92,5,"Lower","Actor"
"Benoît Magimel",6.85,2,"Medium","Actor"
"Bernadette Peters",6.5,1,"Medium","Actor"
"Bernard Hill",6.2,1,"Medium","Actor"
"Bernie Mac",5.5,1,"Lower","Actor"
"Bess Armstrong",3.5,1,"Poor","Actor"
"Betsy Blair",7.8,1,"Medium","Actor"
"Betsy Russell",5.8,2,"Lower","Actor"
"Bette Davis",8.25,2,"Top","Actor"
"Bette Midler",6.9,1,"Medium","Actor"
"Betty Buckley",6.9,1,"Medium","Actor"
"Betty Hutton",6.7,1,"Medium","Actor"
"Betty Lou Gerson",7.2,1,"Medium","Actor"
"Betty White",5.8,1,"Lower","Actor"
"Beverly DAngelo",7.3,3,"Medium","Actor"
"Beyoncé Knowles",6.9,1,"Medium","Actor"
"Bijou Phillips",5.4,1,"Lower","Actor"
"Bill Barretta",6.2,1,"Medium","Actor"
"Bill Clinton",8.1,1,"Top","Actor"
"Bill Hader",6.025,4,"Medium","Actor"
"Bill Hunter",7.25,2,"Medium","Actor"
"Bill Kerr",7.6,1,"Medium","Actor"
"Bill Murray",7.08333333333333,12,"Medium","Actor"
"Bill Nighy",6.94,5,"Medium","Actor"
"Bill Paxton",6.58,5,"Medium","Actor"
"Bill Pullman",6.73333333333333,12,"Medium","Actor"
"Billy Bob Thornton",6.6125,8,"Medium","Actor"
"Billy Boyd",4.9,1,"Lower","Actor"
"Billy Burke",5.36666666666667,3,"Lower","Actor"
"Billy Campbell",5.9,2,"Lower","Actor"
"Billy Chapin",8.1,1,"Top","Actor"
"Billy Connolly",6.8,1,"Medium","Actor"
"Billy Crudup",7.33333333333333,3,"Medium","Actor"
"Billy Crystal",7,8,"Medium","Actor"
"Billy Drago",5.3,1,"Lower","Actor"
"Billy Idol",5.3,1,"Lower","Actor"
"Billy Joel",6.7,1,"Medium","Actor"
"Billy Ray Cyrus",4,1,"Poor","Actor"
"Billy West",6.85,2,"Medium","Actor"
"Billy Zane",5.86666666666667,3,"Lower","Actor"
"Bing Crosby",7,1,"Medium","Actor"
"Bipasha Basu",6.3,1,"Medium","Actor"
"Blair Brown",6.9,1,"Medium","Actor"
"Blake Heron",7.2,1,"Medium","Actor"
"Blake Lively",6.26666666666667,3,"Medium","Actor"
"Blake Woodruff",5.8,1,"Lower","Actor"
"Bo Hopkins",5.8,2,"Lower","Actor"
"Bob Balaban",7.03333333333333,3,"Medium","Actor"
"Bob Gunton",5.75,2,"Lower","Actor"
"Bob Holt",6.5,1,"Medium","Actor"
"Bob Hoskins",6.74,5,"Medium","Actor"
"Bob Newhart",6.9,2,"Medium","Actor"
"Bob Odenkirk",7.9,1,"Medium","Actor"
"Bobby Campo",5.1,1,"Lower","Actor"
"Bobby Cannavale",7.8,1,"Medium","Actor"
"Bonnie Bedelia",7.1,1,"Medium","Actor"
"Bonnie Hunt",5.775,4,"Lower","Actor"
"Boris Karloff",7.9,1,"Medium","Actor"
"Bouli Lanners",7.5,1,"Medium","Actor"
"Brad Davis",7.7,1,"Medium","Actor"
"Brad Dourif",5.46,5,"Lower","Actor"
"Brad Pitt",7.31304347826087,23,"Medium","Actor"
"Brad Renfro",6.7,1,"Medium","Actor"
"Brad William Henke",5.7,1,"Lower","Actor"
"Bradford Dillman",6.2,1,"Medium","Actor"
"Bradley Cooper",6.68888888888889,9,"Medium","Actor"
"Brady Corbet",4.2,1,"Lower","Actor"
"Brandon Lee",7.6,1,"Medium","Actor"
"Brandon Routh",6.2,1,"Medium","Actor"
"Brandon T. Jackson",5.05,2,"Lower","Actor"
"Brant Daugherty",3.2,1,"Poor","Actor"
"Breckin Meyer",5.55,4,"Lower","Actor"
"Brenda Blethyn",7.45,2,"Medium","Actor"
"Brenda Vaccaro",6.15,2,"Medium","Actor"
"Brendan Cowell",7,1,"Medium","Actor"
"Brendan Fraser",6.09090909090909,11,"Medium","Actor"
"Brendan Gleeson",6.75,4,"Medium","Actor"
"Brent Spiner",6.45,2,"Medium","Actor"
"Brett Kelly",7.2,1,"Medium","Actor"
"Brian Blessed",7.8,1,"Medium","Actor"
"Brian Bonsall",5,1,"Lower","Actor"
"Brian Cox",6.83333333333333,3,"Medium","Actor"
"Brian Dennehy",7.3,3,"Medium","Actor"
"Brian Geraghty",7.6,1,"Medium","Actor"
"Brian Keith",6.9,1,"Medium","Actor"
"Brian Kerwin",4.65,2,"Lower","Actor"
"Brian Krause",4.4,1,"Lower","Actor"
"Brian McGuire",7.3,1,"Medium","Actor"
"Brian Murray",7,1,"Medium","Actor"
"Brian OHalloran",7.7,2,"Medium","Actor"
"Brian Van Holt",5.3,1,"Lower","Actor"
"Briana Evigan",6.1,1,"Medium","Actor"
"Bridget Fonda",5.725,4,"Lower","Actor"
"Bridget Moynahan",7.6,1,"Medium","Actor"
"Brie Larson",7.25,2,"Medium","Actor"
"Brigitte Bardot",7.35,2,"Medium","Actor"
"Brigitte Helm",8.4,1,"Top","Actor"
"Brigitte Nielsen",4.9,1,"Lower","Actor"
"Brion James",5.7,1,"Lower","Actor"
"Britt Ekland",7.2,2,"Medium","Actor"
"Brittany Murphy",6.21428571428571,7,"Medium","Actor"
"Brittany Snow",7.3,1,"Medium","Actor"
"Brock Peters",8.15,2,"Top","Actor"
"Brooke Adams",6.55,2,"Medium","Actor"
"Brooke Shields",6.3,4,"Medium","Actor"
"Bruce Abbott",7.3,1,"Medium","Actor"
"Bruce Boxleitner",6.8,1,"Medium","Actor"
"Bruce Cabot",8,1,"Top","Actor"
"Bruce Campbell",7.06666666666667,3,"Medium","Actor"
"Bruce Dern",7.05714285714286,7,"Medium","Actor"
"Bruce Greenwood",6.96666666666667,3,"Medium","Actor"
"Bruce McGill",6.7,1,"Medium","Actor"
"Bruce Payne",5.15,2,"Lower","Actor"
"Bruce Ramsay",7,1,"Medium","Actor"
"Bruce Spence",6.9,2,"Medium","Actor"
"Bruce Willis",6.67714285714286,35,"Medium","Actor"
"Bruno Campos",7.2,1,"Medium","Actor"
"Bruno Ganz",8.3,1,"Top","Actor"
"Bruno Kirby",6.7,1,"Medium","Actor"
"Bryan Brown",5.7,1,"Lower","Actor"
"Bryan Cranston",7.2,3,"Medium","Actor"
"Bryan Greenberg",5.3,1,"Lower","Actor"
"Bryce Dallas Howard",6.5,2,"Medium","Actor"
"Burghart Klaußner",7.8,1,"Medium","Actor"
"Burl Ives",7.65,2,"Medium","Actor"
"Burt Lancaster",7.63333333333333,6,"Medium","Actor"
"Burt Reynolds",6.3,9,"Medium","Actor"
"Burt Young",7.12,5,"Medium","Actor"
"Buster Keaton",8.3,1,"Top","Actor"
"C. Thomas Howell",6.75,2,"Medium","Actor"
"Caio Junqueira",8.1,1,"Top","Actor"
"Caitlin Clarke",6.7,1,"Medium","Actor"
"Caleb Landry Jones",5.6,1,"Lower","Actor"
"Calista Flockhart",6.5,1,"Medium","Actor"
"Callan McAuliffe",7.7,1,"Medium","Actor"
"Callum Blue",6.4,1,"Medium","Actor"
"Cam Gigandet",6.06666666666667,3,"Medium","Actor"
"Cameron Bright",6.4,4,"Medium","Actor"
"Cameron Diaz",6.47272727272727,22,"Medium","Actor"
"Cameron Ten Napel",5.8,1,"Lower","Actor"
"Camilla Belle",6.1,1,"Medium","Actor"
"Campbell Scott",6.93333333333333,3,"Medium","Actor"
"Candice Bergen",6.76666666666667,3,"Medium","Actor"
"Cantinflas",6.8,1,"Medium","Actor"
"Carey Lowell",6.6,1,"Medium","Actor"
"Carey Mulligan",7.48,5,"Medium","Actor"
"Carice van Houten",6.25,2,"Medium","Actor"
"Carl Weathers",4.1,1,"Lower","Actor"
"Carla Gugino",5.55,6,"Lower","Actor"
"Carly Schroeder",5.6,1,"Lower","Actor"
"Carmen Ejogo",7.1,1,"Medium","Actor"
"Carmen Electra",6.2,1,"Medium","Actor"
"Carmen Maura",6.95,2,"Medium","Actor"
"Carol Kane",6.2,1,"Medium","Actor"
"Carole Bouquet",6.8,1,"Medium","Actor"
"Caroline Goodall",6.6,1,"Medium","Actor"
"Caroline Kava",7.2,1,"Medium","Actor"
"Caroline Munro",6.5,1,"Medium","Actor"
"Carolyn Craig",6.9,1,"Medium","Actor"
"Carrie Fisher",8.06,5,"Top","Actor"
"Carrie-Anne Moss",6.96363636363636,11,"Medium","Actor"
"Carroll Baker",6.8,2,"Medium","Actor"
"Carter Jenkins",5.4,1,"Lower","Actor"
"Cary Elwes",6.94545454545455,11,"Medium","Actor"
"Cary Grant",7.91428571428571,7,"Medium","Actor"
"Casey Affleck",6.76,5,"Medium","Actor"
"Casey Wilson",4.2,1,"Lower","Actor"
"Casper Van Dien",7.2,1,"Medium","Actor"
"Cassie Scerbo",3.3,1,"Poor","Actor"
"Cate Blanchett",7.25333333333333,15,"Medium","Actor"
"Catherine Deneuve",6.25,2,"Medium","Actor"
"Catherine Hicks",6.5,1,"Medium","Actor"
"Catherine Keener",6.81111111111111,9,"Medium","Actor"
"Catherine Mary Stewart",6.3,4,"Medium","Actor"
"Catherine OHara",6.3,1,"Medium","Actor"
"Catherine Spaak",6.7,1,"Medium","Actor"
"Catherine Zeta-Jones",6.42307692307692,13,"Medium","Actor"
"Cathy Moriarty",7.1,2,"Medium","Actor"
"Cecil Kellaway",6.7,1,"Medium","Actor"
"Cécile de France",5.8,1,"Lower","Actor"
"Cecilie A. Mosli",6.6,1,"Medium","Actor"
"Cedric Hardwicke",7.5,1,"Medium","Actor"
"Cedric the Entertainer",5.4,1,"Lower","Actor"
"Celia Imrie",5.8,1,"Lower","Actor"
"Chad Michael Murray",5.8,1,"Lower","Actor"
"Chadwick Boseman",7.6,1,"Medium","Actor"
"Chaim Topol",6.8,1,"Medium","Actor"
"Chandler Canterbury",6.2,1,"Medium","Actor"
"Chandra West",5.5,1,"Lower","Actor"
"Channing Tatum",6.55,4,"Medium","Actor"
"Charles Berling",7.8,1,"Medium","Actor"
"Charles Boyer",7.9,1,"Medium","Actor"
"Charles Bronson",6.66666666666667,6,"Medium","Actor"
"Charles Cioffi",6.9,2,"Medium","Actor"
"Charles Cyphers",6.5,1,"Medium","Actor"
"Charles Dance",6.33333333333333,3,"Medium","Actor"
"Charles Durning",6.675,4,"Medium","Actor"
"Charles Gray",6.7,1,"Medium","Actor"
"Charles Grodin",5.2,2,"Lower","Actor"
"Charles Laughton",7.9,1,"Medium","Actor"
"Charles Martin Smith",7.1,2,"Medium","Actor"
"Charles Napier",6.3,1,"Medium","Actor"
"Charles Ruggles",8.1,1,"Top","Actor"
"Charles S. Dutton",5.825,4,"Lower","Actor"
"Charlie Cox",7.8,1,"Medium","Actor"
"Charlie Creed-Miles",7.4,1,"Medium","Actor"
"Charlie Day",6.75,2,"Medium","Actor"
"Charlie Heath",4.2,1,"Lower","Actor"
"Charlie Hunnam",7.1,1,"Medium","Actor"
"Charlie Korsmo",6.5,1,"Medium","Actor"
"Charlie Sheen",6.27142857142857,7,"Medium","Actor"
"Charlie Tahan",7.2,1,"Medium","Actor"
"Charlize Theron",6.7,14,"Medium","Actor"
"Charlotte Gainsbourg",7.1,1,"Medium","Actor"
"Charlotte Lewis",5.8,1,"Lower","Actor"
"Charlotte Rampling",7.36666666666667,3,"Medium","Actor"
"Charlotte Stewart",7.4,1,"Medium","Actor"
"Charlton Heston",7.31428571428571,7,"Medium","Actor"
"Chazz Palminteri",7.8,1,"Medium","Actor"
"Cheech Marin",6.7,1,"Medium","Actor"
"Chelsea Field",6.4,2,"Medium","Actor"
"Cher",6.56666666666667,3,"Medium","Actor"
"Cheryl Campbell",7.3,1,"Medium","Actor"
"Cheryl Hines",4.6,1,"Lower","Actor"
"Chevy Chase",6.21666666666667,6,"Medium","Actor"
"Chi McBride",6.65,2,"Medium","Actor"
"Chief Dan George",7.8,2,"Medium","Actor"
"Chiwetel Ejiofor",6.825,4,"Medium","Actor"
"Chloë Grace Moretz",7.8,1,"Medium","Actor"
"Chloë Sevigny",7.3,1,"Medium","Actor"
