"name","avg_score","n","tier","role"
"Gil Kenan",6.6,2,"Medium","Director"
"Gillian Armstrong",6.6,2,"Medium","Director"
"Giorgio Serafini",4.7,1,"Lower","Director"
"Giuseppe Tornatore",8.1,1,"Top","Director"
"Glenn Ficarra",6.7,1,"Medium","Director"
"Glenn Gordon Caron",5.4,1,"Lower","Director"
"Gonzalo López-Gallego",5.2,1,"Lower","Director"
"Gordon Parks",6.6,1,"Medium","Director"
"Gore Verbinski",6.95555555555556,9,"Medium","Director"
"Graham Baker",5.05,2,"Lower","Director"
"Greg Beeman",6.2,1,"Medium","Director"
"Greg Berlanti",6.5,1,"Medium","Director"
"Greg Marcks",7.2,1,"Medium","Director"
"Greg Mottola",7.2,3,"Medium","Director"
"Gregor Jordan",7.1,1,"Medium","Director"
"Gregory Hoblit",7.1,3,"Medium","Director"
"Gregory Nava",6.6,1,"Medium","Director"
"Griffin Dunne",6,1,"Medium","Director"
"Guillermo del Toro",6.85,6,"Medium","Director"
"Gurinder Chadha",6.45,2,"Medium","Director"
"Gus Van Sant",7,7,"Medium","Director"
"Guy Hamilton",6.92,5,"Medium","Director"
"Guy Moshe",6.2,1,"Medium","Director"
"Guy Ritchie",7.8,5,"Medium","Director"
"Hal Ashby",7.4,1,"Medium","Director"
"Hal Needham",6,1,"Medium","Director"
"Hamilton Luske",7.3,2,"Medium","Director"
"Harald Zwart",6.1,2,"Medium","Director"
"Harold Becker",6.1,3,"Medium","Director"
"Harold Ramis",6.6,7,"Medium","Director"
"Harry Elfont",5.9,2,"Lower","Director"
"Hendel Butoy",6.9,1,"Medium","Director"
"Henry Alex Rubin",7.6,1,"Medium","Director"
"Henry Bean",7.3,1,"Medium","Director"
"Henry Bromell",6.8,1,"Medium","Director"
"Henry Hathaway",7.1,1,"Medium","Director"
"Henry Joost",5.9,1,"Lower","Director"
"Henry King",7.1,2,"Medium","Director"
"Henry Selick",6.2,2,"Medium","Director"
"Herbert Ross",6.43333333333333,3,"Medium","Director"
"Hideo Nakata",5.3,1,"Lower","Director"
"Hironobu Sakaguchi",6.5,1,"Medium","Director"
"Howard Deutch",5.46666666666667,3,"Lower","Director"
"Howard Hawks",7.85,4,"Medium","Director"
"Howard Hughes",7.9,1,"Medium","Director"
"Howard McCain",6.3,1,"Medium","Director"
"Howard Zieff",6.7,1,"Medium","Director"
"Hugh Hudson",6.2,2,"Medium","Director"
"Hugh Johnson",5.2,1,"Lower","Director"
"Hugh Wilson",6.35,2,"Medium","Director"
"Iain Softley",6.63333333333333,3,"Medium","Director"
"Ian Sharp",6.5,1,"Medium","Director"
"Imtiaz Ali",7.4,2,"Medium","Director"
"Ira Sachs",6.3,1,"Medium","Director"
"Irvin Kershner",6.9,3,"Medium","Director"
"Irvin S. Yeaworth Jr.",6.4,1,"Medium","Director"
"Irving Pichel",7.3,1,"Medium","Director"
"Irwin Allen",6.1,1,"Medium","Director"
"Irwin Winkler",6.4,4,"Medium","Director"
"Ivan Passer",6.9,1,"Medium","Director"
"Ivan Reitman",6.3625,8,"Medium","Director"
"J. Lee Thompson",6.025,4,"Medium","Director"
"J.B. Rogers",5.65,2,"Lower","Director"
"J.J. Abrams",7.475,4,"Medium","Director"
"Jack Arnold",7.7,1,"Medium","Director"
"Jack Conway",7.1,1,"Medium","Director"
"Jack Hill",6.9,1,"Medium","Director"
"Jack Nicholson",6.1,1,"Medium","Director"
"Jack Perez",6.4,1,"Medium","Director"
"Jack Sholder",5.2,1,"Lower","Director"
"Jack Smight",6.2,2,"Medium","Director"
"Jaco Van Dormael",7.9,1,"Medium","Director"
"Jacques Audiard",7.7,2,"Medium","Director"
"Jake Kasdan",6.5,3,"Medium","Director"
"Jake Schreier",7.1,1,"Medium","Director"
"James Algar",7.3,1,"Medium","Director"
"James Bobin",7.2,1,"Medium","Director"
"James Bridges",7.4,1,"Medium","Director"
"James Cameron",7.94285714285714,7,"Medium","Director"
"James Cox",6.45,2,"Medium","Director"
"James DeMonaco",5.5,1,"Lower","Director"
"James Fargo",6.7,1,"Medium","Director"
"James Foley",6.6,4,"Medium","Director"
"James Gray",7,2,"Medium","Director"
"James Gunn",6.8,1,"Medium","Director"
"James Isaac",4.3,1,"Lower","Director"
"James Ivory",7.75,2,"Medium","Director"
"James L. Brooks",7.46666666666667,3,"Medium","Director"
"James Mangold",7.25,6,"Medium","Director"
"James McTeigue",7,3,"Medium","Director"
"James Orr",6.2,1,"Medium","Director"
"James Ponsoldt",7.05,2,"Medium","Director"
"James Ryan",5.2,1,"Lower","Director"
"James Toback",5.35,2,"Lower","Director"
"James Wan",7,5,"Medium","Director"
"James Whale",7.95,2,"Medium","Director"
"James Wong",6.35,2,"Medium","Director"
"Jamie Blanks",5.4,1,"Lower","Director"
"Jan de Bont",6.7,2,"Medium","Director"
"Jan Kounen",5.2,1,"Lower","Director"
"Jane Campion",6.63333333333333,3,"Medium","Director"
"Jared Hess",6.5,2,"Medium","Director"
"Jason Bloom",4.3,1,"Lower","Director"
"Jason Eisener",6.1,1,"Medium","Director"
"Jason Friedberg",2.825,4,"Poor","Director"
"Jason Moore",7.3,1,"Medium","Director"
"Jason Reitman",7.275,4,"Medium","Director"
"Jaume Collet-Serra",6.44,5,"Medium","Director"
"Jay Chandrasekhar",5.63333333333333,3,"Lower","Director"
"Jay Duplass",6.3,1,"Medium","Director"
"Jay Oliva",7.55,2,"Medium","Director"
"Jay Roach",6.36666666666667,3,"Medium","Director"
"Jay Russell",6.75,2,"Medium","Director"
"Jean-François Richet",6.9,2,"Medium","Director"
"Jean-Jacques Annaud",7.6,3,"Medium","Director"
"Jean-Luc Godard",7.7,5,"Medium","Director"
"Jean-Marc Vallée",7.65,2,"Medium","Director"
"Jean-Pierre Jeunet",7.33333333333333,3,"Medium","Director"
"Jeannot Szwarc",6.6,2,"Medium","Director"
"Jeb Stuart",6.4,1,"Medium","Director"
"Jeff Lowell",5.2,1,"Lower","Director"
"Jeff Nichols",7.5,1,"Medium","Director"
"Jeff Renfroe",5.3,1,"Lower","Director"
"Jeff Schaffer",6.6,1,"Medium","Director"
"Jeff Tremaine",7.2,1,"Medium","Director"
"Jeff Wadlow",6.25,2,"Medium","Director"
"Jeffrey Nachmanoff",7,1,"Medium","Director"
"Jennifer Flackett",6,1,"Medium","Director"
"Jennifer Siebel Newsom",7.7,1,"Medium","Director"
"Jennifer Yuh Nelson",7.3,1,"Medium","Director"
"Jeremy Leven",6.8,1,"Medium","Director"
"Jeremy Sims",7,1,"Medium","Director"
"Jerry Jameson",5.5,1,"Lower","Director"
"Jerry Schatzberg",7.1,1,"Medium","Director"
"Jerry Zucker",6.4,3,"Medium","Director"
"Jesse Dylan",5.85,2,"Lower","Director"
"Jesse Peretz",6.5,1,"Medium","Director"
"Jesse V. Johnson",4.9,1,"Lower","Director"
"Jessie Nelson",7.6,1,"Medium","Director"
"Jessy Terrero",4.2,1,"Lower","Director"
"Jez Butterworth",6.1,1,"Medium","Director"
"Jim Abrahams",6.74,5,"Medium","Director"
"Jim Fall",7.2,1,"Medium","Director"
"Jim Gillespie",5.2,1,"Lower","Director"
"Jim Henson",7.3,2,"Medium","Director"
"Jim Jarmusch",7.6,3,"Medium","Director"
"Jim Mickle",6.6,1,"Medium","Director"
"Jim Sharman",7.4,1,"Medium","Director"
"Jim Sheridan",6.73333333333333,3,"Medium","Director"
"Jim Sonzero",4.7,1,"Lower","Director"
"Jim Wynorski",5.4,1,"Lower","Director"
"Jimmy T. Murakami",5.4,1,"Lower","Director"
"Joan Chen",5.4,1,"Lower","Director"
"Joby Harold",6.5,1,"Medium","Director"
"Jody Hill",6.4,1,"Medium","Director"
"Joe Alves",3.5,1,"Poor","Director"
"Joe Carnahan",6.9,4,"Medium","Director"
"Joe Chappelle",4.9,1,"Lower","Director"
"Joe Charbanic",5.3,1,"Lower","Director"
"Joe Cornish",6.6,1,"Medium","Director"
"Joe Dante",6.6,5,"Medium","Director"
"Joe Johnston",6.45,4,"Medium","Director"
"Joe Mantello",6.9,1,"Medium","Director"
"Joe Pytka",6.1,1,"Medium","Director"
"Joe Roth",5.1,1,"Lower","Director"
"Joe Wright",7.1,3,"Medium","Director"
"Joel Coen",7.65555555555556,9,"Medium","Director"
"Joel Schumacher",6.73333333333333,12,"Medium","Director"
"Joel Zwick",6.6,1,"Medium","Director"
"John A. Davis",6,1,"Medium","Director"
"John Badham",6.56666666666667,3,"Medium","Director"
"John Boorman",6.275,4,"Medium","Director"
"John Bruno",4.8,1,"Lower","Director"
"John Cameron Mitchell",7,1,"Medium","Director"
"John Carpenter",6.77692307692308,13,"Medium","Director"
"John Crowley",6.9,1,"Medium","Director"
"John Curran",6.4,1,"Medium","Director"
"John Dahl",6.83333333333333,3,"Medium","Director"
"John Erick Dowdle",6.1,1,"Medium","Director"
"John Fawcett",6.8,1,"Medium","Director"
"John Flynn",6.43333333333333,3,"Medium","Director"
"John Ford",7.6,9,"Medium","Director"
"John Fortenberry",6.2,1,"Medium","Director"
"John Frankenheimer",7.56,5,"Medium","Director"
"John G. Avildsen",6.76666666666667,3,"Medium","Director"
"John Glen",6.575,4,"Medium","Director"
"John Gray",5.3,1,"Lower","Director"
"John Guillermin",5.25,2,"Lower","Director"
"John Hamburg",6.5,2,"Medium","Director"
"John Hillcoat",7.3,1,"Medium","Director"
"John Hughes",7.475,4,"Medium","Director"
"John Huston",7.48333333333333,6,"Medium","Director"
"John Kafka",4.8,1,"Lower","Director"
"John Lafia",5.3,2,"Lower","Director"
"John Landis",6.4,5,"Medium","Director"
"John Lasseter",7.2,3,"Medium","Director"
"John Lee Hancock",7.7,1,"Medium","Director"
"John Madden",7.13333333333333,3,"Medium","Director"
"John Maybury",7.1,1,"Medium","Director"
"John McNaughton",6.5,1,"Medium","Director"
"John McTiernan",7.06,5,"Medium","Director"
"John Milius",6.86666666666667,3,"Medium","Director"
"John Moore",5.825,4,"Lower","Director"
"John Pasquin",6.3,1,"Medium","Director"
"John Patrick Shanley",7.5,1,"Medium","Director"
"John Polson",5.4,2,"Lower","Director"
"John R. Cherry III",5.4,1,"Lower","Director"
"John R. Leonetti",3.6,1,"Poor","Director"
"John Schlesinger",7.2,3,"Medium","Director"
"John Schultz",5.4,1,"Lower","Director"
"John Simpson",5.2,1,"Lower","Director"
"John Singleton",6.8,3,"Medium","Director"
"John Stockwell",5.6,1,"Lower","Director"
"John Sturges",8.05,2,"Top","Director"
"John Waters",6.06666666666667,3,"Medium","Director"
"John Wayne",6.9,1,"Medium","Director"
"John Wells",7.05,2,"Medium","Director"
"John Whitesell",4.2,1,"Lower","Director"
"John Woo",6.23333333333333,6,"Medium","Director"
"Jon Amiel",6.06666666666667,3,"Medium","Director"
"Jon Avnet",5.95,2,"Lower","Director"
"Jon Favreau",6.76666666666667,6,"Medium","Director"
"Jon Gunn",7.1,1,"Medium","Director"
"Jon Hurwitz",6.75,2,"Medium","Director"
"Jon Kasdan",6.6,1,"Medium","Director"
"Jon Lucas",5.8,1,"Lower","Director"
"Jon M. Chu",5.95,2,"Lower","Director"
"Jon Poll",7,1,"Medium","Director"
"Jon Turteltaub",6.58571428571429,7,"Medium","Director"
"Jonas Åkerlund",6.8,1,"Medium","Director"
"Jonas Pate",6.7,1,"Medium","Director"
"Jonathan Dayton",7.9,1,"Medium","Director"
"Jonathan Demme",7.25,4,"Medium","Director"
"Jonathan English",4.9,2,"Lower","Director"
"Jonathan Frakes",6.06666666666667,3,"Medium","Director"
"Jonathan Glazer",6.65,2,"Medium","Director"
"Jonathan Hensleigh",6.4,1,"Medium","Director"
"Jonathan Kaplan",6.4,1,"Medium","Director"
"Jonathan Levine",7.45,2,"Medium","Director"
"Jonathan Liebesman",5.85,2,"Lower","Director"
"Jonathan Lynn",7.125,4,"Medium","Director"
"Jonathan Mostow",6.4,3,"Medium","Director"
"Jorge Blanco",6.1,1,"Medium","Director"
"Jorma Taccone",5.4,1,"Lower","Director"
"José Padilha",7.35,2,"Medium","Director"
"Joseph Gordon-Levitt",6.8,1,"Medium","Director"
"Joseph Kosinski",6.95,2,"Medium","Director"
"Joseph L. Mankiewicz",8.4,1,"Top","Director"
"Joseph Losey",7.1,1,"Medium","Director"
"Joseph M. Newman",5.8,1,"Lower","Director"
"Joseph Ruben",5.76666666666667,3,"Lower","Director"
"Josh Gordon",6.2,2,"Medium","Director"
"Josh Trank",7.1,1,"Medium","Director"
"Joshua Michael Stern",5.9,1,"Lower","Director"
"Joss Whedon",8.1,2,"Top","Director"
"Juan Carlos Fresnadillo",6.2,2,"Medium","Director"
"Juan Diego Solanas",6.4,1,"Medium","Director"
"Judd Apatow",6.9,3,"Medium","Director"
"Julian Gilbey",6.6,2,"Medium","Director"
"Julian Jarrold",7.1,1,"Medium","Director"
"Julian Schnabel",7.5,2,"Medium","Director"
"Julie Delpy",6.3,1,"Medium","Director"
"Julie Taymor",5.4,1,"Lower","Director"
"Julien Magnat",5.7,1,"Lower","Director"
"Julien Temple",5.2,1,"Lower","Director"
"Justin Chadwick",6.9,2,"Medium","Director"
"Justin Kerrigan",7,1,"Medium","Director"
"Justin Lin",6.75,4,"Medium","Director"
"Karan Johar",7.7,2,"Medium","Director"
"Karey Kirkpatrick",6.8,1,"Medium","Director"
"Karim Dridi",5.5,1,"Lower","Director"
"Karyn Kusama",5.5,1,"Lower","Director"
"Kathryn Bigelow",7.16666666666667,6,"Medium","Director"
"Katrina Holden Bronson",5.2,1,"Lower","Director"
"Katt Shea",4.5,1,"Lower","Director"
"Keenen Ivory Wayans",5.75,2,"Lower","Director"
"Keith Gordon",6.8,1,"Medium","Director"
"Kelly Asbury",6.45,2,"Medium","Director"
"Kelly Reichardt",7.1,1,"Medium","Director"
"Ken Annakin",7,1,"Medium","Director"
"Ken Kwapis",5.9,4,"Lower","Director"
"Ken Russell",6.75,2,"Medium","Director"
"Ken Wiederhorn",5.7,1,"Lower","Director"
"Kenneth Branagh",7.04,5,"Medium","Director"
"Kenneth Johnson",2.7,1,"Poor","Director"
"Kenny Ortega",6.9,1,"Medium","Director"
"Kevin Bray",5.6,1,"Lower","Director"
"Kevin Connor",5.7,1,"Lower","Director"
"Kevin Costner",7.13333333333333,3,"Medium","Director"
"Kevin Greutert",5.8,2,"Lower","Director"
"Kevin Hooks",5.8,1,"Lower","Director"
"Kevin Lima",6,2,"Medium","Director"
"Kevin Macdonald",7.2,1,"Medium","Director"
"Kevin Munroe",6.4,1,"Medium","Director"
"Kevin Reynolds",6.9,2,"Medium","Director"
"Kevin Smith",7.0875,8,"Medium","Director"
"Kevin Spacey",6.7,1,"Medium","Director"
"Kevin Williamson",5.2,1,"Lower","Director"
"Kim Jee-woon",6.4,1,"Medium","Director"
"Kimberly Peirce",6.5,1,"Medium","Director"
"Kimble Rendall",5.2,1,"Lower","Director"
"King Vidor",6.85,2,"Medium","Director"
"Kirk De Micco",5.95,2,"Lower","Director"
"Kirk Jones",6.9,2,"Medium","Director"
"Kirk Wong",6.1,1,"Medium","Director"
"Kirsten Sheridan",7.6,1,"Medium","Director"
"Kôji Morimoto",7.4,1,"Medium","Director"
"Kunal Kohli",7.2,1,"Medium","Director"
"Kurt Wimmer",4.4,1,"Lower","Director"
"Kyle Balda",6.5,1,"Medium","Director"
"Lake Bell",6.8,1,"Medium","Director"
"Larry Charles",6.85,2,"Medium","Director"
"Larry Cohen",5.9,1,"Lower","Director"
"Lars von Trier",7.55,2,"Medium","Director"
"Lasse Hallström",7.34285714285714,7,"Medium","Director"
"Lauren Montgomery",7.03333333333333,3,"Medium","Director"
"Laurence Olivier",7.9,1,"Medium","Director"
"Lawrence Guterman",5.2,1,"Lower","Director"
"Lawrence Kasdan",6.43333333333333,3,"Medium","Director"
"Lee Daniels",7.4,1,"Medium","Director"
"Lee Tamahori",6.2,3,"Medium","Director"
"Lee Unkrich",8.5,1,"Top","Director"
"Len Wiseman",6.825,4,"Medium","Director"
"Les Mayfield",5.55,2,"Lower","Director"
"Lewis Gilbert",6.55,2,"Medium","Director"
"Lewis Milestone",7.65,2,"Medium","Director"
"Lewis Teague",5.93333333333333,3,"Lower","Director"
"Lexi Alexander",6,1,"Medium","Director"
"Lilly Wachowski",7.55,4,"Medium","Director"
"Lisa Cholodenko",7.1,1,"Medium","Director"
"Lone Scherfig",7.15,2,"Medium","Director"
"Lorene Scafaria",6.7,1,"Medium","Director"
"Louis Leterrier",6.66,5,"Medium","Director"
"Luc Besson",6.85,8,"Medium","Director"
"Luc Jacquet",7.8,1,"Medium","Director"
"Lucky McKee",6.8,1,"Medium","Director"
"Luis Llosa",4.95,2,"Lower","Director"
"Luis Mandoki",5.6,1,"Lower","Director"
"Luis Valdez",6.8,1,"Medium","Director"
"Luke Greenfield",6.35,2,"Medium","Director"
"Lynne Littman",7.2,1,"Medium","Director"
"Lynne Ramsay",7.5,1,"Medium","Director"
"M. Night Shyamalan",6.35,6,"Medium","Director"
"Madhur Bhandarkar",6.9,1,"Medium","Director"
"Maggie Carey",5.8,1,"Lower","Director"
"Maksim Korostyshevsky",4.3,1,"Lower","Director"
"Malcolm D. Lee",4.65,2,"Lower","Director"
"Måns Mårlind",6.4,1,"Medium","Director"
"Manuel Sicilia",6,1,"Medium","Director"
"Marc Forster",7.225,8,"Medium","Director"
"Marc Lawrence",6.3,2,"Medium","Director"
"Marc Webb",7.46666666666667,3,"Medium","Director"
"Marcel Langenegger",6,1,"Medium","Director"
"Marco Brambilla",6.6,1,"Medium","Director"
"Marco Kreuzpaintner",7.6,1,"Medium","Director"
"Marco Risi",7.2,1,"Medium","Director"
"Marcus Nispel",5.8,2,"Lower","Director"
"Mario Bava",6.9,1,"Medium","Director"
"Mario Van Peebles",6.5,1,"Medium","Director"
"Mark A.Z. Dippé",5.2,1,"Lower","Director"
"Mark Christopher",5.7,1,"Lower","Director"
"Mark Dindal",5.8,1,"Lower","Director"
"Mark Goldblatt",5.9,1,"Lower","Director"
"Mark Hammond",5.7,1,"Lower","Director"
"Mark Helfrich",5.6,1,"Lower","Director"
"Mark Herman",7.8,1,"Medium","Director"
"Mark Jones",4.6,1,"Lower","Director"
"Mark L. Lester",6.6,1,"Medium","Director"
"Mark Mylod",6.25,2,"Medium","Director"
"Mark Osborne",7.6,1,"Medium","Director"
"Mark Pellington",6.85,2,"Medium","Director"
"Mark Robson",7.1,1,"Medium","Director"
"Mark Romanek",6.8,1,"Medium","Director"
"Mark Rosman",5.9,2,"Lower","Director"
"Mark Rydell",6.6,2,"Medium","Director"
"Mark Sandrich",7.75,2,"Medium","Director"
"Mark Steven Johnson",5.3,2,"Lower","Director"
"Mark Waters",6.48,5,"Medium","Director"
"Marshall Brickman",6.1,1,"Medium","Director"
"Martin Brest",6.15,4,"Medium","Director"
"Martin Campbell",6.5625,8,"Medium","Director"
"Martin McDonagh",7.6,2,"Medium","Director"
"Martin Ritt",7.65,2,"Medium","Director"
"Martin Rosen",7.7,1,"Medium","Director"
"Martin Scorsese",7.70526315789474,19,"Medium","Director"
"Martin Wood",7.5,1,"Medium","Director"
"Mary Harron",7.6,1,"Medium","Director"
"Mary Lambert",6.5,1,"Medium","Director"
"Massy Tadjedin",6.6,1,"Medium","Director"
"Mat Whitecross",6.5,1,"Medium","Director"
"Mathieu Kassovitz",6.06666666666667,3,"Medium","Director"
"Matt Reeves",8,2,"Top","Director"
"Matt Williams",6.8,1,"Medium","Director"
"Matthew Bright",6.9,1,"Medium","Director"
"Matthew OCallaghan",6.6,1,"Medium","Director"
"Matthew Robbins",6.7,1,"Medium","Director"
"Matthew Vaughn",7.66666666666667,3,"Medium","Director"
"Matthijs van Heijningen Jr.",6.3,1,"Medium","Director"
"McG",6.1,5,"Medium","Director"
"Mel Brooks",7.27142857142857,7,"Medium","Director"
"Mel Gibson",7.45,2,"Medium","Director"
"Mel Smith",6.2,1,"Medium","Director"
"Menahem Golan",5.5,1,"Lower","Director"
"Menno Meyjes",6.6,1,"Medium","Director"
"Merian C. Cooper",8,1,"Top","Director"
"Mervyn LeRoy",7.6,2,"Medium","Director"
"Michael Addis",6.2,1,"Medium","Director"
"Michael Almereyda",6,1,"Medium","Director"
"Michael Anderson",6.8,2,"Medium","Director"
"Michael Apted",6.45,4,"Medium","Director"
"Michael Bay",6.62,10,"Medium","Director"
"Michael Brandt",5.9,1,"Lower","Director"
"Michael Bregman",4.9,1,"Lower","Director"
"Michael Burke",7.3,1,"Medium","Director"
"Michael Caton-Jones",6.7,3,"Medium","Director"
"Michael Cimino",7.26666666666667,3,"Medium","Director"
"Michael Coldewey",5.3,1,"Lower","Director"
"Michael Crichton",7,1,"Medium","Director"
"Michael Cristofer",6,1,"Medium","Director"
"Michael Curtiz",7.68,5,"Medium","Director"
"Michael D. Sellers",5.6,1,"Lower","Director"
"Michael Davis",6.8,1,"Medium","Director"
"Michael Dowse",6.4,1,"Medium","Director"
"Michael Gornick",5.9,1,"Lower","Director"
"Michael Gottlieb",5.6,1,"Lower","Director"
"Michael Haneke",7.35,4,"Medium","Director"
"Michael Hoffman",6.6,2,"Medium","Director"
"Michael J. Bassett",6.1,1,"Medium","Director"
"Michael Lehmann",5.7,1,"Lower","Director"
"Michael Lembeck",5.25,2,"Lower","Director"
"Michael Mann",7.5,7,"Medium","Director"
"Michael Mayer",6.1,1,"Medium","Director"
"Michael McCullers",6.1,1,"Medium","Director"
"Michael Moore",7.66666666666667,3,"Medium","Director"
"Michael Patrick Jann",6.5,1,"Medium","Director"
"Michael Patrick King",4.1,1,"Lower","Director"
"Michael Polish",6.3,1,"Medium","Director"
"Michael Pressman",5.9,1,"Lower","Director"
"Michael Ritchie",5.9,2,"Lower","Director"
"Michael Spierig",6.5,1,"Medium","Director"
"Michael Sucsy",7.15,2,"Medium","Director"
"Michael Tiddes",5,1,"Lower","Director"
"Michael Winner",6.23333333333333,3,"Medium","Director"
"Michael Winterbottom",6.5,2,"Medium","Director"
"Michel Gondry",8.4,1,"Top","Director"
"Michele Placido",6.4,2,"Medium","Director"
"Michele Soavi",6.2,1,"Medium","Director"
"Mick Jackson",5.4,1,"Lower","Director"
"Miguel Arteta",6.5,2,"Medium","Director"
"Miguel Sapochnik",6.3,1,"Medium","Director"
"Mihalis Kakogiannis",7.8,1,"Medium","Director"
"Mikael Håfström",6.46666666666667,3,"Medium","Director"
"Mikael Salomon",5.8,1,"Lower","Director"
"Mike Binder",7.6,1,"Medium","Director"
"Mike Clattenburg",7.3,1,"Medium","Director"
"Mike Disa",4.8,1,"Lower","Director"
"Mike Elliott",5.6,1,"Lower","Director"
"Mike Figgis",7.6,1,"Medium","Director"
"Mike Gabriel",6.5,1,"Medium","Director"
"Mike Hodges",7.6,1,"Medium","Director"
"Mike Judge",6.825,4,"Medium","Director"
"Mike Leigh",7.65,4,"Medium","Director"
"Mike Mills",7.2,1,"Medium","Director"
"Mike Mitchell",6.3,2,"Medium","Director"
"Mike Newell",7.08,5,"Medium","Director"
"Mike Nichols",6.9,5,"Medium","Director"
"Mike Tollin",5.9,2,"Lower","Director"
"Miloš Forman",7.85,4,"Medium","Director"
"Mimi Leder",6.33333333333333,3,"Medium","Director"
"Mira Nair",6.2,1,"Medium","Director"
"Mitch Davis",6.5,1,"Medium","Director"
"Morgan ONeill",5.7,1,"Lower","Director"
"Moustapha Akkad",8.3,1,"Top","Director"
"Nadia Tass",5.6,1,"Lower","Director"
"Nancy Meyers",6.7,3,"Medium","Director"
"Nanette Burstein",6.4,1,"Medium","Director"
"Nat Faxon",7.4,1,"Medium","Director"
"Neal Israel",6.2,1,"Medium","Director"
"Neil Burger",7.5,2,"Medium","Director"
"Neil Jordan",6.92857142857143,7,"Medium","Director"
"Neil LaBute",5.2,3,"Lower","Director"
"Neil Marshall",6.2,2,"Medium","Director"
"Neill Blomkamp",8,1,"Top","Director"
"Nelson Shin",7.4,1,"Medium","Director"
"Niall Johnson",6.9,1,"Medium","Director"
"Nicholas Hytner",6.56666666666667,3,"Medium","Director"
"Nicholas Jarecki",6.7,1,"Medium","Director"
"Nicholas Stoller",6.63333333333333,3,"Medium","Director"
"Nick Cassavetes",7.46666666666667,3,"Medium","Director"
"Nick Castle",6.05,2,"Medium","Director"
"Nick Hurran",5.2,1,"Lower","Director"
"Nick Murphy",6.5,1,"Medium","Director"
"Nick Park",7.6,1,"Medium","Director"
"Nick Vallelonga",5,1,"Lower","Director"
"Nick Willing",6.05,2,"Medium","Director"
"Nicolas Roeg",7.4,1,"Medium","Director"
"Nicolas Winding Refn",6.53333333333333,3,"Medium","Director"
"Nicole Holofcener",6.6,1,"Medium","Director"
"Niels Arden Oplev",7.8,1,"Medium","Director"
"Nigel Cole",6.9,3,"Medium","Director"
"Nikhil Advani",3.8,1,"Poor","Director"
"Niki Caro",7.7,1,"Medium","Director"
"Nikolaj Arcel",7.6,1,"Medium","Director"
"Nima Nourizadeh",6.7,1,"Medium","Director"
"Nimród Antal",6.3,2,"Medium","Director"
"Noah Baumbach",7.4,1,"Medium","Director"
"Noam Murro",7,1,"Medium","Director"
"Nora Ephron",6.02,5,"Medium","Director"
"Norman Jewison",7.5,2,"Medium","Director"
"Norman Z. McLeod",7.5,1,"Medium","Director"
"Norton Virgien",5.8,1,"Lower","Director"
"Olatunde Osunsanmi",5.9,1,"Lower","Director"
"Ole Christian Madsen",7.3,1,"Medium","Director"
"Oliver Hirschbiegel",7.1,2,"Medium","Director"
"Oliver Parker",6.6,2,"Medium","Director"
"Oliver Stone",6.91666666666667,12,"Medium","Director"
"Olivier Megaton",6.4,1,"Medium","Director"
"Oren Moverman",7.2,1,"Medium","Director"
"Oren Peli",6.4,1,"Medium","Director"
"Orson Welles",8.2,1,"Top","Director"
"Otto Preminger",7.55,2,"Medium","Director"
"P.J. Hogan",6.43333333333333,3,"Medium","Director"
"P.J. Pesce",4.8,1,"Lower","Director"
"Pål Sletaune",6.6,1,"Medium","Director"
"Park Chan-wook",6.9,1,"Medium","Director"
"Pascal Chaumeil",6.8,1,"Medium","Director"
"Pat OConnor",6.6,1,"Medium","Director"
"Patrick Alessandrin",6.5,1,"Medium","Director"
"Patrick Lussier",5.3,3,"Lower","Director"
"Patrick Tatopoulos",6.6,1,"Medium","Director"
"Patty Jenkins",7.3,1,"Medium","Director"
"Paul Brickman",6.8,1,"Medium","Director"
"Paul Feig",6.8,2,"Medium","Director"
"Paul Fox",6.1,1,"Medium","Director"
"Paul Greengrass",7.7,4,"Medium","Director"
"Paul Haggis",7.5,3,"Medium","Director"
"Paul Hunter",5.4,1,"Lower","Director"
"Paul Mazursky",6.85,2,"Medium","Director"
"Paul McGuigan",6.96666666666667,3,"Medium","Director"
"Paul Michael Glaser",6.6,1,"Medium","Director"
"Paul Schrader",6.25,2,"Medium","Director"
"Paul Soter",6.5,1,"Medium","Director"
"Paul Thomas Anderson",7.825,4,"Medium","Director"
"Paul Verhoeven",6.8,5,"Medium","Director"
"Paul W.S. Anderson",5.98571428571429,7,"Lower","Director"
"Paul Weiland",5.8,1,"Lower","Director"
"Paul Weitz",5.75,2,"Lower","Director"
"Pedro Almodóvar",7.6,1,"Medium","Director"
"Penelope Spheeris",7,1,"Medium","Director"
"Penny Marshall",6.33333333333333,3,"Medium","Director"
"Per Fly",4.9,1,"Lower","Director"
"Pete Docter",8.1,1,"Top","Director"
"Pete Riski",4.5,1,"Lower","Director"
"Pete Travis",6.8,2,"Medium","Director"
"Peter Berg",6.95,6,"Medium","Director"
"Peter Bogdanovich",6.93333333333333,3,"Medium","Director"
"Peter Cattaneo",6.7,2,"Medium","Director"
"Peter Chelsom",5.63333333333333,3,"Lower","Director"
"Peter Faiman",6.4,2,"Medium","Director"
"Peter Hedges",6.8,1,"Medium","Director"
"Peter Hewitt",5.6,3,"Lower","Director"
"Peter Howitt",6.13333333333333,3,"Medium","Director"
